,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
209,30/01/16,Barcelona,Ath Madrid,2,1,H,2,1,H,10,7,4,4,7,18,8,6,0,3,0,2
210,30/01/16,Eibar,Malaga,1,2,A,0,1,A,11,7,3,4,9,15,1,2,1,3,0,0
211,30/01/16,Getafe,Ath Bilbao,0,1,A,0,1,A,11,13,3,3,13,18,7,5,2,5,1,0
212,30/01/16,Sociedad,Betis,2,1,H,2,0,H,11,8,4,1,13,9,3,4,1,4,0,0
213,30/01/16,Villarreal,Granada,1,0,H,0,0,D,12,7,6,2,10,11,8,0,4,3,0,0
214,31/01/16,Las Palmas,Celta,2,1,H,1,1,D,13,5,5,2,13,18,7,3,6,2,0,1
215,31/01/16,Real Madrid,Espanol,6,0,H,4,0,H,18,15,7,5,20,20,3,1,1,5,0,0
216,31/01/16,Sevilla,Levante,3,1,H,1,0,H,14,22,8,4,8,8,5,9,1,1,0,0
217,31/01/16,Valencia,Sp Gijon,0,1,A,0,0,D,16,7,3,3,15,21,6,3,0,2,0,0
218,01/02/16,La Coruna,Vallecano,2,2,D,1,2,A,17,7,5,3,6,15,5,4,0,0,0,0
219,05/02/16,Malaga,Getafe,3,0,H,3,0,H,8,6,4,2,10,10,4,6,3,3,0,0
220,06/02/16,Ath Bilbao,Villarreal,0,0,D,0,0,D,10,2,1,2,19,20,5,3,4,4,1,1
221,06/02/16,Ath Madrid,Eibar,3,1,H,0,0,D,13,6,4,2,15,18,5,2,2,3,0,0
222,06/02/16,Sp Gijon,La Coruna,1,1,D,1,1,D,11,5,2,4,10,13,4,3,2,2,0,0
223,06/02/16,Vallecano,Las Palmas,2,0,H,1,0,H,18,9,8,4,16,15,5,5,3,1,0,0
224,07/02/16,Betis,Valencia,1,0,H,0,0,D,6,7,2,2,17,19,4,5,4,5,0,1
225,07/02/16,Celta,Sevilla,1,1,D,0,1,A,25,9,5,2,15,16,10,5,3,3,0,1
226,07/02/16,Granada,Real Madrid,1,2,A,0,1,A,14,14,2,4,20,8,3,6,3,2,0,0
227,07/02/16,Levante,Barcelona,0,2,A,0,1,A,11,11,3,4,15,10,2,5,4,3,0,0
228,08/02/16,Espanol,Sociedad,0,5,A,0,2,A,5,12,1,6,13,11,4,5,1,2,0,0
229,12/02/16,Sp Gijon,Vallecano,2,2,D,2,1,H,11,15,5,4,14,12,3,7,3,4,0,0
230,13/02/16,La Coruna,Betis,2,2,D,1,2,A,25,4,11,2,14,13,11,0,1,0,0,0
231,13/02/16,Real Madrid,Ath Bilbao,4,2,H,3,1,H,19,10,9,3,6,8,5,2,1,2,1,0
232,13/02/16,Valencia,Espanol,2,1,H,0,0,D,17,19,4,6,8,19,9,9,1,3,0,0
233,13/02/16,Villarreal,Malaga,1,0,H,1,0,H,12,7,5,2,13,15,5,1,2,1,0,0
234,14/02/16,Barcelona,Celta,6,1,H,1,1,D,19,10,11,4,10,16,1,1,0,4,0,0
235,14/02/16,Eibar,Levante,2,0,H,1,0,H,15,8,6,3,15,12,8,2,3,2,0,0
236,14/02/16,Getafe,Ath Madrid,0,1,A,0,1,A,11,6,0,3,9,9,5,4,2,3,0,0
237,14/02/16,Sevilla,Las Palmas,2,0,H,0,0,D,9,11,5,3,15,11,8,3,1,3,0,0
238,14/02/16,Sociedad,Granada,3,0,H,2,0,H,12,15,6,2,9,18,7,13,1,2,0,0
239,17/02/16,Sp Gijon,Barcelona,1,3,A,1,2,A,6,17,2,8,11,7,1,4,2,1,0,0
240,19/02/16,Levante,Getafe,3,0,H,2,0,H,12,14,6,6,12,13,6,8,2,2,0,0
241,20/02/16,Betis,Sp Gijon,1,1,D,0,0,D,17,4,6,3,15,25,10,4,2,3,0,0
242,20/02/16,Celta,Eibar,3,2,H,2,0,H,14,7,9,3,6,25,6,1,3,2,0,0
243,20/02/16,Espanol,La Coruna,1,0,H,0,0,D,16,17,9,3,19,4,7,4,3,1,0,0
244,20/02/16,Las Palmas,Barcelona,1,2,A,1,2,A,16,13,3,8,10,13,3,6,1,2,0,0
245,21/02/16,Ath Bilbao,Sociedad,0,1,A,0,1,A,9,9,2,4,21,16,9,3,7,6,0,0
246,21/02/16,Ath Madrid,Villarreal,0,0,D,0,0,D,12,5,3,0,11,13,10,2,2,2,0,0
